CID,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Gender_Man,Gender_Woman,Card Status_Active,Card Status_Blocked by Customer,Card Status_Blocked by Easy Credit,Card Status_Lost,Card Status_Stolen,PREDICTED_CLASS
14012683,400,16.7961904761905,60.0,389.76,12.04,430.5,0,1,0,1,0,0,0,0,MiddleRisk
14012687,400,67.2833333333333,60.0,396.28,28.07,563.1,56,0,1,0,0,1,0,0,MiddleRisk
14012688,300,180.371428571429,0.0,0.0,0.0,-75.49,0,1,0,1,0,0,0,0,MiddleRisk
14012689,300,90.0433333333333,45.0,270.13,13.9,444.17,87,0,1,0,0,1,0,0,MiddleRisk
14012697,300,20.8189473684211,45.0,299.77,11.12,339.92,0,1,0,1,0,0,0,0,MiddleRisk
14012704,300,37.475,45.0,299.8,29.07,457.04,56,0,1,0,0,1,0,0,MiddleRisk
14012711,300,292.95,45.0,292.95,22.07,483.12,87,0,1,0,0,1,0,0,MiddleRisk
14012716,300,32.8744827586207,45.0,292.63,7.62,300.25,0,0,1,1,0,0,0,0,MiddleRisk
14012717,300,118.747692307692,45.0,0.0,0.0,-0.99,0,1,0,1,0,0,0,0,MiddleRisk
14012292,300,26.6838461538462,45.0,298.68,23.2,519.21,118,1,0,0,0,1,0,0,HighRisk
14012297,300,20.163023255814,45.0,244.23,0.85,245.08,0,1,0,1,0,0,0,0,MiddleRisk
14012305,500,33.8121052631579,75.0,496.36,18.13,558.95,0,0,1,1,0,0,0,0,MiddleRisk
14012310,300,148.035,45.0,296.07,23.72,491.61,118,1,0,0,0,0,1,0,HighRisk
14012317,500,138.26,0.0,0.0,0.0,-29.04,0,1,0,1,0,0,0,0,MiddleRisk
14012318,300,32.4981875,0.0,0.0,0.0,-0.27,0,1,0,1,0,0,0,0,MiddleRisk
14012322,300,42.3,45.0,72.19,1.96,74.15,0,1,0,1,0,0,0,0,MiddleRisk
14012325,300,99.2633333333333,45.0,297.79,20.5,490.45,118,1,0,0,0,1,0,0,HighRisk
14012326,300,27.9969230769231,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14012327,300,48.91,45.0,298.02,11.46,391.78,28,1,0,0,0,1,0,0,MiddleRisk
14012329,300,81.299375,45.0,299.9,10.44,310.34,0,1,0,1,0,0,0,0,MiddleRisk
14012341,300,45.1625,45.0,298.71,24.54,407.12,28,1,0,0,0,1,0,0,MiddleRisk
14012344,300,69.13,45.0,234.15,5.19,252.51,0,1,0,1,0,0,0,0,MiddleRisk
14012346,300,32.1313043478261,45.0,286.19,8.84,295.03,0,0,1,1,0,0,0,0,MiddleRisk
14012350,300,42.01375,45.0,267.86,9.93,304.58,0,1,0,1,0,0,0,0,MiddleRisk
14012352,60,0.0,0.0,35.0,0.84,156.11,146,1,0,1,0,0,0,0,HighRisk
14012357,300,74.5925,45.0,298.37,22.81,493.46,118,1,0,0,0,1,0,0,HighRisk
14012361,300,33.7520833333333,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012362,300,82.3133333333333,45.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012363,300,29.9519047619048,45.0,293.51,10.86,333.72,0,0,1,1,0,0,0,0,MiddleRisk
14012373,300,295.0,45.0,295.0,30.51,481.71,56,1,0,0,0,1,0,0,MiddleRisk
14012374,300,19.6522222222222,45.0,130.52,4.94,148.51,0,1,0,1,0,0,0,0,MiddleRisk
14012377,400,25.0025,60.0,399.94,29.33,624.43,118,1,0,0,0,1,0,0,HighRisk
14012380,300,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012389,300,74.712,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14012391,300,32.4063636363636,45.0,299.05,22.98,471.02,56,1,0,0,0,1,0,0,MiddleRisk
14012393,300,26.8757142857143,0.0,28.64,0.03,28.67,0,0,1,1,0,0,0,0,MiddleRisk
14012400,300,12.9252173913043,45.0,299.45,14.65,486.03,118,1,0,0,0,1,0,0,HighRisk
14012402,300,67.2629032258065,45.0,298.83,0.36,299.19,0,1,0,1,0,0,0,0,MiddleRisk
14012410,500,70.71,75.0,497.9,71.24,705.2,28,1,0,0,0,1,0,0,MiddleRisk
14012411,400,71.4577777777778,60.0,396.05,14.45,444.5,0,0,1,1,0,0,0,0,MiddleRisk
14012415,300,57.6133333333333,45.0,283.34,10.54,322.21,0,0,1,1,0,0,0,0,MiddleRisk
14012429,300,33.154,45.0,299.93,32.09,415.48,0,0,1,0,1,0,0,0,MiddleRisk
14012431,500,73.9933333333333,44.21,44.16,0.05,44.21,0,1,0,1,0,0,0,0,MiddleRisk
14012433,400,69.9125,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14012439,500,68.028,75.0,494.71,23.3,678.77,56,0,1,0,0,1,0,0,MiddleRisk
14012440,300,292.95,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14012444,400,49.7475,60.0,397.98,29.62,618.35,87,0,1,0,1,0,0,0,MiddleRisk
14012446,400,53.732,60.0,83.61,0.1,83.71,0,0,1,1,0,0,0,0,MiddleRisk
14012449,400,34.0471428571429,60.0,399.51,30.6,609.2,56,1,0,0,0,1,0,0,MiddleRisk
14012451,400,292.681666666667,60.0,391.8,14.1,405.9,0,1,0,1,0,0,0,0,MiddleRisk
14012452,300,32.7476470588235,45.0,295.55,22.03,463.22,56,0,1,0,0,1,0,0,MiddleRisk
14012458,300,7.14648648648648,45.0,292.33,0.0,292.33,0,1,0,1,0,0,0,0,MiddleRisk
14012463,400,97.7625,60.0,389.07,29.1,607.14,87,1,0,0,0,1,0,0,MiddleRisk
14012470,300,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012475,300,63.717,45.0,224.75,6.73,231.48,0,1,0,1,0,0,0,0,MiddleRisk
14012481,400,104.017142857143,60.0,398.11,19.09,511.01,28,1,0,0,0,1,0,0,MiddleRisk
14012488,400,25.6416666666667,60.0,399.93,2.65,402.84,56,1,0,0,0,1,0,0,MiddleRisk
14012493,300,15.4335483870968,45.0,298.54,8.91,307.45,0,0,1,1,0,0,0,0,MiddleRisk
14012498,400,50.6322222222222,60.0,105.22,0.13,105.35,0,0,1,1,0,0,0,0,MiddleRisk
14012506,300,282.95,45.0,282.95,22.78,471.28,87,1,0,0,0,1,0,0,MiddleRisk
14012507,400,22.4969230769231,60.0,375.17,13.35,421.55,0,1,0,1,0,0,0,0,MiddleRisk
14012515,300,68.46,45.0,299.04,42.7,365.59,0,1,0,1,0,0,0,0,MiddleRisk
14012516,300,16.426875,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012517,300,29.71,45.0,60.09,2.18,68.28,0,1,0,1,0,0,0,0,MiddleRisk
14012522,500,124.59,0.56,15.9,0.02,15.92,0,1,0,1,0,0,0,0,MiddleRisk
14012526,300,37.4025,45.0,245.59,0.0,249.75,87,0,1,0,0,1,0,0,MiddleRisk
14012527,300,26.5271428571429,45.0,232.51,8.68,264.44,0,1,0,1,0,0,0,0,MiddleRisk
14012528,300,28.1804444444444,45.0,295.36,6.31,301.67,0,0,1,1,0,0,0,0,MiddleRisk
14012531,300,139.483636363636,45.0,299.73,9.68,309.41,0,0,1,1,0,0,0,0,MiddleRisk
14012542,300,33.0407692307692,45.0,295.79,20.4,419.49,28,0,1,0,0,1,0,0,MiddleRisk
14012543,300,82.845,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012544,300,26.6205882352941,45.0,286.11,7.23,293.34,0,1,0,1,0,0,0,0,MiddleRisk
14012545,300,48.2421428571429,45.0,287.2,9.91,322.33,0,1,0,1,0,0,0,0,MiddleRisk
