CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status
14012406,Woman,300,26.8402702702703,45,298.43,23.94,329.21,0,Active
14012412,Woman,400,132.5,60,397.5,27.18,619.36,118,Blocked by The company
14012413,Man,300,29.1411764705882,45,291.57,0.35,291.92,0,Active
14012414,Man,500,68.098,75,77.29,0,77.29,0,Active
14012416,Woman,400,33.182962962963,60,399.99,14.86,414.85,0,Blocked by Customer
14012420,Woman,400,52.6107142857143,0,103.95,0.12,104.07,0,Active
14012422,Man,300,15.884598540146,45,299.41,5.3,304.71,0,Active
14012423,Woman,300,23.5012121212121,45,292.58,20.46,320.06,0,Active
14012435,Man,700,692.5,105,692.5,38.2,992.98,118,Blocked by The company
14012438,Man,300,59.98,45,299.9,20.84,493.22,118,Blocked by The company
14012441,Man,400,66.575,60,399.45,26.27,620.3,118,Blocked by The company
14012443,Woman,300,78.052,45,300,32.32,419.99,0,Active
14012448,Woman,500,63.665,75,498.69,18.49,564.92,0,Active
14012460,Man,300,88.925,45,191.64,6.44,205.14,0,Active
14012465,Man,600,69.8564285714286,90,596.68,21.85,675.43,0,Active
14012467,Man,400,21.1408333333333,60,216.7,0.12,216.82,0,Active
14012483,Woman,300,19.8827272727273,45,266.84,0,266.84,0,Active
14012492,Man,400,56.9028571428571,60,398.32,23.75,616.91,118,Blocked by The company
14012500,Woman,400,22.1047619047619,60,399.43,43.11,579.28,28,Blocked by The company
14012504,Woman,300,53.6571428571429,45,293.39,10.5,330.23,0,Active
14012518,Man,300,30.9007142857143,45,296.7,11.07,331.62,0,Active
14012524,Man,300,50.0285714285714,45,299.83,32.29,422.98,0,Active
14012529,Man,400,53.1345,60,354.19,9.89,364.08,0,Active
14012530,Man,300,46.9765789473684,45,0,0,0,0,Active
14012532,Woman,300,31.03,45,297.92,34.69,332.61,0,Active
14012551,Woman,300,22.2166666666667,33.86,32.98,0.88,33.86,0,Active
14012555,Man,500,181.9,0,0,0,-0.01,0,Active
14012559,Man,300,15.4652173913043,45,297.98,21.12,431.48,28,Blocked by The company
14012566,Man,300,0,0,0,0,0,0,Active
14012567,Man,300,47.64375,45,270.89,0,270.89,0,Active
14012578,Woman,300,27.9983333333333,45,299.39,9.19,308.58,0,Active
14012583,Man,500,24.655,75,498.54,18.46,564.79,0,Active
14012585,Woman,300,18.8447058823529,45,299.51,22.33,507.61,87,Blocked by The company
14012593,Man,300,30.7896551724138,45,289.65,8.75,298.4,0,Active
14012595,Woman,400,65.92,60,390.71,26.26,606.26,87,Blocked by The company
14012601,Man,300,28.29,45,0,0,0,0,Active
14012613,Woman,300,300,45,300,23.76,493.26,87,Blocked by The company
14012616,Man,300,33.1733333333333,45,298.56,14.98,485.86,118,Blocked by The company
14012623,Woman,300,19.1093939393939,45,299.68,21.23,490.35,87,Blocked by The company
14012626,Man,500,162.8,75,488.4,23.63,718.22,118,Blocked by The company
14012630,Woman,300,62.0429032258064,45,299.1,5.77,304.87,0,Active
14012634,Man,300,63.3742857142857,45,299.37,27.39,447.19,56,Blocked by The company
14012638,Man,300,106.225,0,0,0,-3.35,0,Active
14012650,Man,300,36.8384615384615,45,298.16,10.89,338.03,0,Active
14012656,Man,500,159.366666666667,0,0,0,0,0,Active
14012662,Woman,300,59.46,45,291.42,19.25,429.65,56,Blocked by The company
14012663,Woman,300,45.1188888888889,45,298.42,20.6,331.7,0,Active
14012683,Man,400,16.7961904761905,60,389.76,12.04,430.5,0,Active
14012687,Woman,400,67.2833333333333,60,396.28,28.07,563.1,56,Blocked by The company
14012688,Man,300,180.371428571429,0,0,0,-75.49,0,Active
14012689,Woman,300,90.0433333333333,45,270.13,13.9,444.17,87,Blocked by The company
14012697,Man,300,20.8189473684211,45,299.77,11.12,339.92,0,Active
